,session,clust,accuracy,NCR_ratio,learning_phase,animal
0,BS_108_1_AC.pickle,[14],0.5514331593737454,0.0,pre_expert,BS_108_1_AC
1,BS_108_1_AC.pickle,"[8, 9, 34, 35]",0.8372501003613007,0.0,pre_expert,BS_108_1_AC
2,BS_108_1_AC.pickle,"[8, 9, 14, 34]",0.853713368125251,0.0,pre_expert,BS_108_1_AC
3,BS_108_1_AC.pickle,"[2, 8, 9, 34, 35]",0.831910879164994,0.0,pre_expert,BS_108_1_AC
4,BS_108_1_AC.pickle,"[2, 8, 9, 34, 35]",0.831910879164994,0.0,pre_expert,BS_108_1_AC
5,BS_108_1_AC.pickle,"[2, 14, 34, 35]",0.6622360497792051,0.0,pre_expert,BS_108_1_AC
6,BS_108_1_AC.pickle,"[2, 8, 14, 34, 35]",0.7862384584504216,0.0,pre_expert,BS_108_1_AC
7,BS_108_1_AC.pickle,"[8, 9, 14, 34, 35]",0.8239903653151346,0.0,pre_expert,BS_108_1_AC
8,BS_108_1_AC.pickle,"[8, 9, 14, 34, 35]",0.8239903653151346,0.0,pre_expert,BS_108_1_AC
9,BS_108_1_AC.pickle,"[2, 8, 9, 14, 34, 35]",0.8216338819751104,0.0,pre_expert,BS_108_1_AC
10,BS_108_1_AC.pickle,"[2, 8, 9, 14, 34, 35]",0.8216338819751104,0.0,pre_expert,BS_108_1_AC
11,BS_108_1_AC.pickle,"[2, 8, 9, 14, 34, 35]",0.8216338819751104,0.0,pre_expert,BS_108_1_AC
12,BS_108_1_AC.pickle,"[2, 8, 9, 14, 34, 35]",0.8216338819751104,0.0,pre_expert,BS_108_1_AC
13,BS_108_1_AC.pickle,"[2, 8, 9, 14, 34, 35]",0.8216338819751104,0.0,pre_expert,BS_108_1_AC
14,BS_108_1_AC.pickle,"[2, 8, 9, 14, 34, 35]",0.8216338819751104,0.0,pre_expert,BS_108_1_AC
15,BS_108_1_AC.pickle,"[2, 8, 14, 34, 35]",0.7862384584504216,0.0,pre_expert,BS_108_1_AC
16,BS_108_1_AC.pickle,"[2, 8, 9, 34]",0.8387234042553191,0.0,pre_expert,BS_108_1_AC
17,BS_108_1_AC.pickle,[35],0.4786752308309915,0.0,pre_expert,BS_108_1_AC
18,BS_108_1_AC.pickle,"[8, 9, 14, 34]",0.853713368125251,0.0,pre_expert,BS_108_1_AC
19,BS_108_1_AC.pickle,"[9, 14, 34]",0.7033801686069852,0.0,pre_expert,BS_108_1_AC
20,BS_108_1_AC.pickle,[14],0.5514331593737454,0.0,pre_expert,BS_108_1_AC
21,BS_108_1_AC.pickle,[14],0.5514331593737454,0.0,pre_expert,BS_108_1_AC
22,BS_108_1_AC.pickle,[9],0.5602248093135286,0.0,pre_expert,BS_108_1_AC
23,BS_108_1_AC.pickle,[34],0.7025812926535527,0.0,pre_expert,BS_108_1_AC
24,BS_108_1_AC.pickle,"[2, 34, 35]",0.6781011641910878,0.0,pre_expert,BS_108_1_AC
25,BS_108_1_AC.pickle,"[2, 14, 34, 35]",0.6622360497792051,0.0,pre_expert,BS_108_1_AC
26,BS_108_1_AC.pickle,"[2, 9]",0.593054997992774,0.0,pre_expert,BS_108_1_AC
27,BS_108_1_AC.pickle,"[9, 34]",0.7087234042553191,0.0,pre_expert,BS_108_1_AC
28,BS_108_1_AC.pickle,"[8, 9]",0.823914090726616,0.0,pre_expert,BS_108_1_AC
29,BS_108_1_AC.pickle,"[2, 8, 35]",0.7718145323163388,0.0,pre_expert,BS_108_1_AC
30,BS_108_1_AC.pickle,"[2, 8, 9]",0.8171577679646728,0.0,pre_expert,BS_108_1_AC
31,BS_108_1_AC.pickle,"[2, 8, 34]",0.812260136491369,0.0,pre_expert,BS_108_1_AC
32,BS_108_1_AC.pickle,"[8, 14, 35]",0.75786029706945,0.0,pre_expert,BS_108_1_AC
33,BS_108_1_AC.pickle,"[34, 35]",0.6761059815335206,0.0,pre_expert,BS_108_1_AC
34,BS_108_1_AC.pickle,"[34, 35]",0.6761059815335206,0.0,pre_expert,BS_108_1_AC
35,BS_108_2_AC.pickle,"[2, 7, 26]",0.6269530309112806,0.0,pre_expert,BS_108_2_AC
36,BS_108_2_AC.pickle,"[2, 7]",0.5949658771577678,0.0,pre_expert,BS_108_2_AC
37,BS_108_2_AC.pickle,"[2, 7, 26]",0.6269530309112806,0.0,pre_expert,BS_108_2_AC
38,BS_108_2_AC.pickle,"[2, 7, 26]",0.6269530309112806,0.0,pre_expert,BS_108_2_AC
39,BS_108_2_AC.pickle,"[2, 7, 26]",0.6269530309112806,0.0,pre_expert,BS_108_2_AC
40,BS_108_2_AC.pickle,"[7, 26]",0.6353954235246889,0.0,pre_expert,BS_108_2_AC
41,BS_108_2_AC.pickle,[2],0.5812083500602168,0.0,pre_expert,BS_108_2_AC
42,BS_108_2_AC.pickle,[7],0.5896266559614612,0.0,pre_expert,BS_108_2_AC
43,BS_108_2_AC.pickle,[7],0.5896266559614612,0.0,pre_expert,BS_108_2_AC
44,BS_108_2_AC.pickle,[2],0.5812083500602168,0.0,pre_expert,BS_108_2_AC
45,BS_108_2_AC.pickle,"[7, 26]",0.6353954235246889,0.0,pre_expert,BS_108_2_AC
